,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
17582,"frozenset({'A143', 'A101', 'A93', 'A171'})",frozenset({'A211'}),0.302,0.7,0.235,0.7781456953642384,1.1116367076631977,0.02360000000000001,1.3522388059701493
17674,"frozenset({'A143', 'A101', 'A191', 'A173'})",frozenset({'A211'}),0.298,0.7,0.208,0.697986577181208,0.9971236816874401,-0.0005999999999999894,0.9933333333333334
17705,"frozenset({'A143', 'A101', 'A173', 'A201'})",frozenset({'A211'}),0.469,0.7,0.342,0.7292110874200427,1.0417301248857753,0.013700000000000045,1.1078740157480318
17882,"frozenset({'A143', 'A101', 'A191', 'A201'})",frozenset({'A211'}),0.416,0.7,0.291,0.6995192307692307,0.9993131868131868,-0.00019999999999997797,0.9984
18062,"frozenset({'A192', 'A101', 'A143', 'A201'})",frozenset({'A211'}),0.302,0.7,0.225,0.7450331125827815,1.0643330179754023,0.013600000000000029,1.176623376623377
18093,"frozenset({'A143', 'A101', 'A22', 'A201'})",frozenset({'A211'}),0.287,0.7,0.214,0.745644599303136,1.0652065704330516,0.013100000000000028,1.179452054794521
18122,"frozenset({'A32', 'A101', 'A143', 'A201'})",frozenset({'A211'}),0.389,0.7,0.264,0.6786632390745502,0.9695189129636431,-0.008299999999999974,0.9336000000000003
18152,"frozenset({'A143', 'A101', 'A52', 'A201'})",frozenset({'A211'}),0.361,0.7,0.271,0.7506925207756233,1.072417886822319,0.01830000000000004,1.2033333333333338
18182,"frozenset({'A143', 'A101', 'A61', 'A201'})",frozenset({'A211'}),0.421,0.7,0.275,0.653206650831354,0.9331523583305058,-0.01969999999999994,0.8650684931506852
18212,"frozenset({'A143', 'A101', 'A84', 'A201'})",frozenset({'A211'}),0.346,0.7,0.237,0.684971098265896,0.9785301403798514,-0.005199999999999982,0.9522935779816516
18242,"frozenset({'A143', 'A101', 'A93', 'A201'})",frozenset({'A211'}),0.379,0.7,0.288,0.7598944591029023,1.0855635130041463,0.022699999999999998,1.2494505494505495
18573,"frozenset({'A101', 'A161', 'A152', 'A171'})",frozenset({'A211'}),0.348,0.7,0.243,0.6982758620689655,0.9975369458128079,-0.0005999999999999617,0.9942857142857144
